#tag,dataset,iter1,iter2,iter3,iter4,iterLast,finalTiming,sumTiming
jackhmmer,up_Q3M5S2_Q3M5S2_ANAVT,,,,,2714.70,20.32,2735.02
jackhmmer,up_Q3R518_Q3R518_XYLFA,,,,,5461.66,77.33,5538.99
jackhmmer,up_Q3SM86_Q3SM86_THIDA,,,,,4390.89,37.19,4428.08
jackhmmer,up_Q3TX27_Q3TX27_MOUSE,,,,,1292.43,15.03,1307.46
jackhmmer,up_Q3UHC8_Q3UHC8_MOUSE,,,,,7924.01,197.07,8121.08
jackhmmer,up_Q41461_Q41461_SOLTU,,,,,13081.29,65.19,13146.48
jackhmmer,up_Q45095_Q45095_BACCI,,,,,2954.09,15.44,2969.53
jackhmmer,up_Q45155_Q45155_BACFR,,,,,1717.82,9.62,1727.44
jackhmmer,up_Q4C0C2_Q4C0C2_CROWT,,,,,3503.12,25.18,3528.30
jackhmmer,up_Q4C3Y2_Q4C3Y2_CROWT,,,,,4140.21,74.78,4214.99
jackhmmer,up_Q4C8I9_Q4C8I9_CROWT,,,,,7287.38,34.82,7322.20
jackhmmer,up_Q4EC64_Q4EC64_9RICK,,,,,645.75,5.99,651.74
jackhmmer,up_Q4EMH3_Q4EMH3_LISMO,,,,,680.79,3.03,683.82
jackhmmer,up_Q4FS76_Q4FS76_PSYA2,,,,,1313.39,13.74,1327.13
jackhmmer,up_Q4FTY9_Q4FTY9_PSYA2,,,,,1347.21,26.73,1373.94
jackhmmer,up_Q4K7R9_Q4K7R9_PSEF5,,,,,10712.22,40.11,10752.33
jackhmmer,up_Q4LD27_Q4LD27_MICAE,,,,,611.75,7.77,619.52
jackhmmer,up_Q4MPF9_Q4MPF9_BACCE,,,,,1497.63,16.83,1514.46
jackhmmer,up_Q4SQA0_Q4SQA0_TETNG,,,,,18487.97,137.70,18625.67
jackhmmer,up_Q4Z4R4_Q4Z4R4_PLABE,,,,,1635.05,10.96,1646.01
jackhmmer,up_Q4ZZ46_Q4ZZ46_PSEU2,,,,,4752.19,40.17,4792.36
jackhmmer,up_Q5CJ84_Q5CJ84_CRYHO,,,,,17370.69,77.57,17448.26
jackhmmer,up_Q5CV93_Q5CV93_CRYPV,,,,,5038.92,18.21,5057.13
jackhmmer,up_Q5E2L7_HLDE_VIBF1,,,,,1345.93,10.69,1356.62
jackhmmer,up_Q5F326_Q5F326_CHICK,,,,,7291.09,79.52,7370.61
jackhmmer,up_Q5IW60_Q5IW60_STRVR,,,,,11680.87,193.61,11874.48
jackhmmer,up_Q5KXK4_Q5KXK4_GEOKA,,,,,784.16,5.93,790.09
jackhmmer,up_Q5LL22_Q5LL22_SILPO,,,,,10932.08,123.66,11055.74
jackhmmer,up_Q5M3V5_Q5M3V5_STRT2,,,,,1483.57,27.29,1510.86
jackhmmer,up_Q5P7V0_Q5P7V0_AZOSE,,,,,4268.73,44.88,4313.61
jackhmmer,up_Q5RDK4_Q5RDK4_PONAB,,,,,5560.11,24.79,5584.90
jackhmmer,up_Q5VDC5_Q5VDC5_ASPFL,,,,,13231.95,114.12,13346.07
jackhmmer,up_Q62043_Q62043_MOUSE,,,,,7553.60,138.34,7691.94
jackhmmer,up_Q63RD4_Q63RD4_BURPS,,,,,880.85,6.15,887.00
jackhmmer,up_Q64D97_Q64D97_9ARCH,,,,,8768.10,43.41,8811.51
jackhmmer,up_Q65JD0_Q65JD0_BACLD,,,,,1466.25,15.17,1481.42
jackhmmer,up_Q66GG4_Q66GG4_YERPS,,,,,3027.89,27.06,3054.95
jackhmmer,up_Q68CH6_Q68CH6_STRCZ,,,,,6332.27,145.57,6477.84
jackhmmer,up_Q6G7M7_DDL_STAAS,,,,,1437.50,9.74,1447.24
jackhmmer,up_Q6N1B0_Q6N1B0_RHOPA,,,,,2372.27,26.15,2398.42
jackhmmer,up_Q6NHJ1_Q6NHJ1_CORDI,,,,,2175.45,21.30,2196.75
jackhmmer,up_Q6R574_Q6R574_9HYPO,,,,,6714.85,117.23,6832.08
jackhmmer,up_Q6TBN8_Q6TBN8_9NOST,,,,,797.76,8.78,806.54
jackhmmer,up_Q6TLZ7_Q6TLZ7_MYCUL,,,,,7302.29,61.33,7363.62
jackhmmer,up_Q6WG25_Q6WG25_MYCUL,,,,,14600.16,283.64,14883.80
jackhmmer,up_Q6WUY0_Q6WUY0_LOPCH,,,,,6578.02,23.89,6601.91
jackhmmer,up_Q6XPZ9_Q6XPZ9_FUNHE,,,,,665.04,6.55,671.59
jackhmmer,up_Q6Z6U9_Q6Z6U9_ORYSJ,,,,,,33.65,
jackhmmer,up_Q72BR5_Q72BR5_DESVH,,,,,1486.52,14.55,1501.07
jackhmmer,up_Q73X69_Q73X69_MYCPA,,,,,10972.33,88.31,11060.64
jackhmmer,up_Q7A5T6_Q7A5T6_STAAN,,,,,889.21,4.93,894.14
jackhmmer,up_Q7CIP7_Q7CIP7_YERPE,,,,,5174.13,36.99,5211.12
jackhmmer,up_Q7CKB5_Q7CKB5_YERPE,,,,,577.19,4.60,581.79
jackhmmer,up_Q7D6E1_Q7D6E1_MYCTU,,,,,11218.48,168.22,11386.70
jackhmmer,up_Q7DC81_Q7DC81_PSEAE,,,,,1433.30,16.04,1449.34
jackhmmer,up_Q7MCU1_Q7MCU1_VIBVY,,,,,9481.86,111.84,9593.70
jackhmmer,up_Q7QGM3_Q7QGM3_ANOGA,,,,,1574.14,17.21,1591.35
jackhmmer,up_Q7QGN3_Q7QGN3_ANOGA,,,,,1959.72,22.25,1981.97
jackhmmer,up_Q7TUB3_Q7TUB3_PROMP,,,,,6898.05,34.65,6932.70
